URL,Title,Content
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86000,제6회 일상 속 작은 행복 시민 아이디어 공모전,제6회 일상 속 작은 행복 시민 아이디어 공모전인천 시민의 행복 편익 증진을 위한 생활밀착형 아이디어를 발굴하기 위해 제6회 일상 속 작은 행복 시민 아이디어 공모전 을 개최하오니 많은 참여 바랍니다 공모전명 일상 속 작은 행복 시민 아이디어 공모전 공모주제 인천시민의 행복 편익 증진을 위한 생활밀착형 아이디어 일상생활 속 불편함을 해결하는 톡톡 튀는 나만의 아이디어 시민이 행복한 인천시를 만들 수 있는 다양한 분야의 제안 접수기간 2024 4 11 목 5 8 수 28일간 접수 마감 당일 18 00까지 접수분에 한함 공모자격 인천시민 또는 인천에 사업체를 두고 있거나 인천 소재 직장 및 학교를 다니는 자 공무원 제외 접수방법 市 홈페이지 공모전 카테고리 이메일 팩스 심사기준 실시가능성 창의성 효율성 및 효과성 계속성 적용범위 시상내역 9명 팀 내외 상장 및 시상금 총 5백만 원 내외 금 상 1 300만원 이상 500만원 이하 은 상 1 200만원 이상 300만원 미만 동 상 1 100만원 이상 200만원 미만 장려상 2 50만원 이상 100만원 미만 노력상 4 10만원 이상 50만원 미만 문의사항 인천광역시 시정혁신담당관실 032 440 1653
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86002,2024년도 제72회 교육주간 주제 및 교육사랑 사진 영상 일러스트 공모전,2024년도 제72회 교육주간 주제 및 교육사랑 사진 영상 일러스트 공모전 공모 주제 2024년도 제72회 교육주간 주제 및 교육사랑 사진 영상 일러스트 공모 공모 내용제72회 교육주간 주제 공모 교육의 중요성을 함께 인식하고 협력하자는 메시지 교육 당면 과제의 해결이나 교육이 나아갈 방향 교육사랑 사제동행 교육협력 스승존중 등의 취지를 담은 간결한 표어 문구 주제 1개 주제설명 200자 이내 교육사랑 사진 영상 일러스트 공모 교육사랑 사제동행 교육협력 스승존중 의미 등의 주제가 담긴 사진 영상 일러스트 카툰 웹툰 캘리그래피 자유 연출 작품 설명 포함 지원 자격 전 국민 교육을 사랑하는 누구나 모집 기간 제72회 교육주간 주제 공모 2024 4 8 월 4 22 월 교육사랑 사진 영상 일러스트 공모 2024 4 8 월 5 1 수 지원 방법 공모전 이메일 hongbosil kfta or kr 로 접수 시상내역 주제 공모 최우수 1명 모바일 상품권 30만원 우수 4명 모바일 상품권 10만원 장려 20명 모바일 상품권 5만원 접수자 소정의 상품권 지급 교육사랑 사진 영상 일러스트 공모 최우수 1명 모바일 상품권 50만원 우수 2명 모바일 상품권 30만원 장려 5명 모바일 상품권 10만원 접수자 소정의 상품권 지급 문의 사항 한국교총 대변인실 T 02 570 5532 3
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86003,2024 고양문화재단 고양행주문화제 축제 서포터즈 모집,2024 고양문화재단 고양행주문화제 축제 서포터즈 모집
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86005,2024년 제9회 장애인식개선 공모전,2024년 제9회 장애인식개선 공모전 공모기간 2024 4 11 목 5 10 금 5주간 참여대상 진주지역 초중고 재학생 및 청소년 결과발표 2024 6 5 수 복지관 홈페이지 개별연락 접수방법 우편 또는 방문 접수 마감일 소인 유효 공모 주제 장애에 대한 긍정적이고 올바른 인식 확산을 위한 그림 장애와 장애인에 대한 올바른 인식 확산 장애와 장애인에 대한 잘못된 편견 선입견 해소 장애인에 대한 차별 해소 장애인과 비장애인이 함께 살아가는 지역사회의 모습 기타 지역사회의 긍정적인 변화를 이끌어 낼 수 있는 것 등 시상내역 대상 진주시장상 1명 15만원 최우수상 진주교육지원청 교육장상 3명 10만원 우수상 진주시복지재단 이사장상 5명 7만원 장려상 진주시장애인총연합회장상 5명 3만원 특별상 경남장애인복지관협회장상 8명 1만원 진주시장애인종합복지관장상 10명 1만원 참가상품 참가상품 증정 문의 지역연계팀 이희섭 055 762 0179
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86006,제7회 어린이 교통안전 창작 그림공모전,제7회 어린이 교통안전 창작 그림공모전 참가대상 대구광역시 관내 초등학생 전 학년 1 6학년 접수기간 2024 4 10 수 4 19 금 10 00 17 00 공모주제 어린이교통사고 예방과 교통질서 및 교통안전 의식을 높여요 공모부분 자유화 포스터 만화툰 등 자유형식 작품크기 8절 도화지 272mmx393mm 표현기법 재료 제한 없음 규격에서 벗어나는 경우 심사 제외 시상내역구분시 상 인 원훈 격비 고계12345660저학년고학년 시장상소계422대구광역시장상패 및시상품교육감상소계844대구광역시교육감경찰청장상소계844대구경찰청장교통안전상소계1010한국교통안전공단대구경북본부장1010손해보험협회동부지역본부장교통창의력상소계2020대구교통연수원장 문의처 대구어린이교통랜드 053 765 3401
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86007,캐치프레이즈와 함께하는 IGC 상징 조형물 아이디어 공모전 기간연장,캐치프레이즈와 함께하는 IGC 상징 조형물 아이디어 공모전 참가 자격 누구나 공모 주제 IGC를 상징하는 창의적이고 독창적인 조형물 아이디어 제출 제출 기간 2024 3 11 월 5 3 금 시상 내역 1등 1 000 000원 1인 팀 2등 500 000원 1인 팀 베스트 캐치프레이즈 300 000원 제출양식 및 형식 신청서 제안서 작품사진파일 jpg png 또는 pdf 접수 방법 이메일 접수 contest igc or kr 유의 사항 작품의 저작권에 관한 민 형사상 책임은 참가자 본인에게 있습니다 공모제안에 부적절한 내용이 포함되어 있는 경우 제안에서 임의로 삭제될수 있습니다 최종 선정에 대한 저작권을 포함한 모든 권리는 인천글로벌캠퍼스운영재단에 귀속됩니다 모든 작품은 응모자의 독창적인 창작물이어야 하며 이전에 다른 공모전에 출품한 적이 없는 작품이어야 합니다 타인의 작품을 사용하거나 모방한 경우 심사에서 제외됩니다 수상 후 위반 사항이 발견될 경우 수상이 취소되고 모든 상금이 반환됩니다 참가자는 재단에서 요청 시 실제 설치를 위해 수정 또는 변경이 가능한 원본 파일을 제출해야 할 수도 있습니다 조형물 설치사업의 비용은 추후 결정되므로 예산상의 제약이 있을 경우 당선작의 디자인이 조정될 수 있습니다 유휴지 개발 환경에 따라 당선작 이외의 다른 작품이 설치될 수 있으며 이과정에서 재단 내부 검토를 거쳐 당선작이 설치되지 않을 수도 있습니다 공모전 상금에 대한 세금은 참가자가 부담합니다 문의 사항 contest igc or kr 032 626 0510 0514
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86008,제1회 올툰 웹툰 공모전,제1회 올툰 웹툰 공모전안녕하세요 모바일 팀구매 커머스 플랫폼 올웨이즈의 만화서비스 올툰 입니다 제 1회 웹툰 공모전을 개최합니다 작가님들의 많은 관심과 성원 부탁 드립니다 응모 기간 2024 04 10 수 2024 05 24 금 자정 결과 발표 모집 기간 동안 수시 개별 연락 응모 자격 남녀노소 누구나 신인 기성 작가 개인 팀 지원 가능 출품 작품 수 제한 없음 단 수상은 작가 또는 팀당 1개 작품에 한함 유효 판매된 적 없는 신작만 가능하며 30 50화 이상 연재가 가능한 작품을 권장합니다 응모 분야 여성향 순정 로맨스 로맨스 판타지 장르 1회 이상 3회 이하 작품 주제 및 소재 자유 수상 혜택 수상작 1 대상 1작품 수상상금 5 000만원 올툰 정식연재 2 최우수상 1작품 수상 상금 3 000만 원 올툰 정식 연재 3 우수상 1 작품 수상 상금 500만 원 올툰 정식 연재 4 장려상 5 작품 수상 상금 200만 원 올툰 정식 연재 5 참여상 10작품 수상 상금 50만 원 연재 관련 협의 가능 수상 상금은 제세공과금이 포함된 금액입니다 팀 투고의 경우 대표자 1인 지급을 원칙으로 합니다 응모 형식 제출 내용 1화 이상 3화 이하 완성 원고 및 참가 신청서1 완성원고 회당 스크롤 60컷이상 스크롤 원고 가로 720px 세로 자유 기준 포맷 JPG zip으로 압축해 제출 기준 해상도 72dpi 2 참가 신청서 캐릭터 시트 및 시놉시스 참가 신청서 양식은 자유 해당 내용 기재 응모 조건 1인이 여러 개 원고 응모 가능 단 수상은 1작품만 가능 응모자 본인이 저작권을 보유한 순수 창작물 공동작업인 경우 참여자들의 응모 동의 필수 상업적 목적으로 발표된 적이 없는 작품 타 공모전 제출 작품도 연재 계약이 안 된 상태라면 응모 가능 미성년자의 경우 성인작품 응모 불가 응모 방법 공모전 참가 신청서 완성 원고를 이메일로 제출 접수 및 문의 메일 altoon ilevit com 심사 기준 응모 분야 및 응모 조건의 충족 여부 스토리 완성도와 그림의 독창성 평가 캐릭터의 개성과 감정 표현력 평가 컷 구성력 및 대사 처리의 정확성 평가 유의 사항 상금에 대한 제세공과금은 수상자 본인 부담입니다 상금에서 공과금 제하여 입금 상금은 작품별 계약 후 개별 지급되며 연재 계약은 수상과는 별도로 진행됩니다 공동 작업팀이 수상한 경우 상금은 대표자의 계좌로 입금됩니다 상금은 계약 진행 후 1차로 총 상금의 40 가 익월 10일에 선입금되며 남은 금액은 창작지원금 형태로 연재가 확정된 날로부터 익월 10일에 입금됩니다 본인이 저작권을 보유한 순수 창작물만 지원 가능합니다 공동 작업의 경우 모든 참여자의 동의가 있어야 응모 가능합니다 출판 유료판매 유료연재 등 상업적으로 발표된 적 없는 작품만 가능합니다 타 공모전 제출 작품이어도 연재 및 계약되지 않은 작품은 응모 가능합니다 복수작 응모는 가능하나 중복 수상은 불가합니다 수상 작품은 반드시 자사 플랫폼에서 연재해야 하며 타 플랫폼과 계약 연재할 경우 수상이 취소됩니다 수상작 발표일는 내부 사정에 따라 변경될 수 있습니다 기준에 미달할 경우 수상자가 없을 수 있습니다 작품의 저작권은 작가님에게 있습니다 수상 후 홍보 및 배너 제작 등을 위해 고해상도의 원고 이미지를 요청드릴 수 있습니다 다음의 경우 수상 취소 및 상금 환수 조치합니다 a 심사 기간 혹은 당선 후 출간 또는 이중계약 사실이 밝혀지는 경우 b 심사 기간 혹은 당선 후 타 작품의 저작권을 침해한 사실 생성형 AI 사용 등 이 밝혀지는 경우 c 수상 후 수상자가 계약을 거부하는 경우 d 수상 후 6개월 이내에 정당한 사유 없이 웹툰 작업이 진행되지 않을 경우 감사합니다
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86009,2024년 안양 문화예술 공간 활성화 지원사업 공모,2024년 안양 문화예술 공간 활성화 지원사업 공모
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86010,캐논 EOS R50 파워샷 V10 카메라 서포터즈 모집,캐논 EOS R50 파워샷 V10 카메라 서포터즈 모집사진이든 영상이든 캐논이면 끝 나만의 캠퍼스 라이프를 작품처럼 담아줄 캐논 EOS R50 파워샷 V10 서포터즈 모집 안내 서포터즈 혜택1 서포터즈 수료한 전원 체험제품 증정 EOS R50 10명 파워샷 V10 10명 캐논 카메라 서포터즈 공식 활동 인증서 수여 2 발대식 참여자 전원 C Logue 에코 컴팩트 멀티 파우치 증정 3 우수서포터즈 경품 대상 전체 1명 백화점 상품권 30만원 최우수상 제품별 1명 C Logue 프리미엄 롱 레인 쟈켓 사이즈 택1 우수상 제품별 2명 C Logue 모던 클래식 쇼퍼백 색상 택1 모집 기간 2024 4 8 월 2024 4 28 일 23 59까지 모집 결과 발표 2024 5 3 금 활동기간 2024 5 11 토 2024 6 14 금 23 59까지 지원 자격 4 30 화 까지 에브리유니즈 학생복지스토어 인증을 완료한 대학생 대학원생 재학생 휴학생 졸업예정자 가능 캐논 브랜드에 관심이 있는 학생 사진 촬영 및 영상 제작에 관심이 있는 학생 SNS 콘텐츠 제작 및 홍보 능력이 있다면 가산점 대외활동 내용 캐논 EOS R50 혹은 파워샷 V10 제품 체험 SNS 홍보 콘텐츠 제작 카메라 강좌 출사 등 오프라인 행사 참여 서울 주요 유의사항 1 4월 30일 기준 에브리유니즈 대학생 인증 여부가 확인되지 않는 경우 선발에서 제외됩니다 2 서포터즈 활동 중 제작된 게시물은 주 캐논코리아 주 유니브스토어 에브리유니즈 에서 3년 간 마케팅 홍보 등의 목적으로 복제 배포 전송 전시 편곡 변형 각색 영상제작 번역 등의 방식으로 이용할 수 있습니다 3 잘못된 개인정보 입력 기타 사유 등으로 선발된 인원에게 연락이 불가능할 경우 선발이 취소되며 이에 대해 당사에서는 책임지지 않습니다 4 서포터즈 선정 후 별도 제공하는 가이드 일정에 맞게 초안 작성 후 메일로 제출이 필요하며 가이드에 부합하지 않는 경우 보강 요청드릴 수 있습니다 5 5만원 초과 경품에 발생하는 제세공과금은 주 캐논코리아에서 부담하며 체험 제품 제공 기타소득의 신고 및 제세공과금 납부를 위해서 수집한 개인정보를 주 마콘컴퍼니에서 제공합니다 문의 사항 이메일이 아닌 고객센터로만 연락 요청 학생복지스토어 고객센터 02 6352 9331 평일 10 00 18 00 점심시간 12 00 13 00 주말 공휴일 휴무
https://www.wevity.com/?c=find&s=1&mode=end&gbn=viewok&gp=1&ix=86011,2024 양구 생활인구 서포터즈 양치기 모집,2024 양구 생활인구 서포터즈 양치기 모집 모집 기간 2024년 4월 9일 화 2024년 4월 18일 목 18시까지 모집 인원 7명 지원 자격 지역소멸문제에 관심이 있고 네이버 블로그 등 개인 SNS를 활발하게 운영하는 성인 2005년생 이상 우대 사항① 지역소멸 문제를 비롯하여 지역 문제에 관심이 있는 자② SNS 채널을 활발하게 운영하고 콘텐츠 제작에 관심이 있는 자③ 서포터즈 및 기자단 경험이 있는 자 선발 절차 구글폼 링크 또는 QR코드 접속하여 지원서 제출 서류 심사 후 합격자 안내 링크 https forms gle kkLrpdsB9Mht5N8a7 합격자 발표 4월 22일 월 개별 통보 양구 유튜브 서포터즈와 중복 지원 불가 오리엔테이션 2024년 4월 26일 금 온라인으로 진행 대외활동 기간 2024년 5월 11월 7개월 필수 활동① 매월 블로그 1건 게시② 인스타그램 5건 게시③ 양구 DMO 콘텐츠 공유 좋아요 등 서포터 활동 5회 이상 활동 혜택① 매월 콘텐츠 원고료 지급 최대 월 10만원 ② 양구 1박2일 체류비 지급 11만원 2회 지급 ③ 활동 종료 후 수료증 지급 및 우수활동자 상금 10만원 지급 문의 inyanggu0213 gmail net 070 4351 1175
